2016-11-03 12:22:16,261 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:22:16,270 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:22:49,456 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:22:49,469 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:22:49,477 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:22:49,492 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:24:56,046 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:24:56,056 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:24:56,065 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:24:56,076 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:25:03,329 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:25:03,337 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:25:03,346 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:25:03,359 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:28:23,754 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:28:23,761 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:28:23,768 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:28:23,778 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
